,inputs,policies,policies_sent,labels
0,"IT department employees can create, edit, and delete user accounts for the purpose of onboarding and offboarding, provided they have the explicit permission from the HR department.","[{'decision': 'allow', 'subject': 'IT department employee', 'action': 'create', 'resource': 'user account', 'purpose': 'onboarding and offboarding', 'condition': 'they have the explicit permission from the HR department'}, {'decision': 'allow', 'subject': 'IT department employee', 'action': 'edit', 'resource': 'user account', 'purpose': 'onboarding and offboarding', 'condition': 'they have the explicit permission from the HR department'}, {'decision': 'allow', 'subject': 'IT department employee', 'action': 'delete', 'resource': 'user account', 'purpose': 'onboarding and offboarding', 'condition': 'none'}]","IT department employee is shall to create user account for the purpose of onboarding and offboarding, if they have the explicit permission from the HR department and IT department employee is authorized to edit user account for the purpose of onboarding and offboarding, if they have the explicit permission from the HR department and IT department employee is able to delete user account for the purpose of onboarding and offboarding",8
1,"If a patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet, the patient may choose to take the survey for an office visit (if the survey has already been taken, the patient or personal health representative will not have the ability to take the survey or view their previously submitted survey) (UC24).","[{'decision': 'allow', 'subject': 'patient', 'action': 'take', 'resource': 'survey', 'condition': 'patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet', 'purpose': 'office visit'}, {'decision': 'deny', 'subject': 'patient', 'action': 'take', 'resource': 'survey', 'condition': 'survey has already been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'personal health representative', 'action': 'view', 'resource': 'previously submitted survey', 'condition': 'survey has already been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'personal health representative', 'action': 'analyze', 'resource': 'survey', 'condition': 'survey has already been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'view', 'resource': 'previously submitted survey', 'condition': 'survey has already been taken', 'purpose': 'none'}]","patient is allowed to take survey for the purpose of office visit, if patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet and patient is unauthorized to take survey if survey has already been taken and personal health representative is not able to view previously submitted survey if survey has already been taken and personal health representative is not able to analyze survey if survey has already been taken and patient is unauthorized to view previously submitted survey if survey has already been taken",2
2,"Changes to the internal security policies of this resource van only be made by administrators, not data owners if the process is necessary to avoid failures.","[{'decision': 'deny', 'subject': 'data owner', 'action': 'change', 'resource': 'internal security policies of this resource', 'condition': 'process is necessary', 'purpose': 'avoid failure'}, {'decision': 'allow', 'subject': 'administrator', 'action': 'change', 'resource': 'internal security policies of this resource', 'condition': 'none', 'purpose': 'avoid failure'}]","data owner is unauthorized to change internal security policies of this resource for the purpose of avoid failure, if process is necessary and administrator is shall to change internal security policies of this resource for the purpose of avoid failure",8
3,"An LHCP or patient can click the ""View Appointment Calendar"" link to view his or her appointments in the current month displayed on a calendar for the current month .","[{'decision': 'allow', 'subject': 'patient', 'action': 'click', 'resource': 'none', 'condition': 'none', 'purpose': 'view his or her appointments in the current month'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'click', 'resource': 'view appointment calendar link', 'condition': 'none', 'purpose': 'view his or her appointments in the current month'}]",patient is authorized to click for the purpose of view his or her appointments in the current month and lhcp is able to click view appointment calendar link for the purpose of view his or her appointments in the current month,7
4,"After the review process, the authors of submitted papers should submit a camera-ready version of their paper, analogous to step 2.","[{'decision': 'deny', 'subject': 'authors of submitted paper', 'action': 'submit', 'resource': 'cameraready version of their paper', 'condition': 'none', 'purpose': 'none'}]",authors of submitted paper is not able to submit cameraready version of their paper,0
5,The HCP enters a comment for a lab procedure with status as pending.,"[{'decision': 'deny', 'subject': 'hcp', 'action': 'enter', 'resource': 'comment', 'condition': 'none', 'purpose': 'none'}]",hcp is prohibited to enter comment,0
6,"In an electronic system, we cannot allow residents to connect to the network at any time, as long as they can only view their own data and not make arbitrary changes.","[{'decision': 'deny', 'subject': 'resident', 'action': 'make', 'resource': 'change', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'none', 'action': 'view', 'resource': 'own data', 'condition': 'anytime', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'resident', 'action': 'connect', 'resource': 'network', 'condition': 'anytime', 'purpose': 'none'}]",resident is shall not to make change and own data is unauthorized to be view if anytime and resident is shall not to connect network if anytime,6
7,The LHCP is able to view the comprehensive patient report  from a list of his or her requests.,"[{'decision': 'allow', 'subject': 'lhcp', 'action': 'view', 'resource': 'comprehensive patient report', 'condition': 'assigned to respective projects', 'purpose': 'none'}]",lhcp is authorized to view comprehensive patient report if assigned to respective projects,4
8,"Managers are allowed to withdraw funds from the department's account only for official allocations and business expenses, provided such transactions are approved and documented.","[{'decision': 'allow', 'subject': 'manager', 'action': 'withdraw', 'resource': ""department's account"", 'purpose': 'none', 'condition': 'transactions are approved and documented'}]",manager is authorized to withdraw department's account if transactions are approved and documented,9
9,The system deletes the Schedule.,"[{'decision': 'allow', 'subject': 'none', 'action': 'delete', 'resource': 'schedule', 'condition': 'none', 'purpose': 'none'}]",schedule is able to be delete,6
